Category,Name of cocktail,Type,Picture,,Base Spirit,Served,Garnish,Drinkware,Ingredients,Preparation,Commonly Served
Unforgettables,Alexander,Cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Alexander_Cocktail.png/250px-Alexander_Cocktail.png,,"
Gin
","Straight up: chilled, without ice",nutmeg, Cocktail glass,"
30 ml Gin
30 ml crème de cacao (brown)
30 ml fresh cream
",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,After dinner
Unforgettables,Americano,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Americano_cocktail_at_Nightwood_Restaurant.jpg/250px-Americano_cocktail_at_Nightwood_Restaurant.jpg,,"
Vermouth
Campari
",On the rocks: poured over ice,"half an orange slice, lemon twist", Old fashioned glass,"
3 cl Campari
3 cl sweet red vermouth
A splash of soda water
","Pour the Campari and vermouth over ice into an old fashioned glass, add a splash of soda water and garnish with half orange slice and a lemon twist.",Before dinner
Unforgettables,Angel face,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/9/97/IBA_Cocktail_Angel_Face_%2828068833805%29.jpg/250px-IBA_Cocktail_Angel_Face_%2828068833805%29.jpg,,"
Gin
Calvados
","Straight up: chilled, without ice", Cocktail glass,"
3 cl gin
3 cl Apricot brandy
3 cl Calvados
",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,All day,† Angel face recipe at International Bartenders Association
Unforgettables,Aviation,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Aviation_Cocktail.jpg/250px-Aviation_Cocktail.jpg,,"
Gin
","Straight up: chilled, without ice",maraschino cherry, Cocktail glass,"
45 ml gin
15 ml maraschino Luxardo
15 ml lemon juice
1 barspoon crème de violette
",Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,All day
Unforgettables,Between the sheets,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Between_The_Sheets_Cocktail.jpg/250px-Between_The_Sheets_Cocktail.jpg,,"
Cognac
Rum
Triple sec
","Straight up: chilled, without ice", Cocktail glass,"
30 ml white rum
30 ml cognac
30 ml triple sec
20 ml fresh lemon juice
",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,All Day,† Between the sheets recipe at International Bartenders Association
Unforgettables,Boulevardier,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/VTR_Happy_Hour_-_Boulevardier.jpg/250px-VTR_Happy_Hour_-_Boulevardier.jpg,,"
Bourbon whiskey
","Straight up: chilled, without ice","Orange zest, optionally a lemon zest", Cocktail glass,"
45 ml bourbon or rye whiskey
30 ml bitter Campari
30 ml sweet red vermouth
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,† Boulevardier recipe at International Bartenders Association
Unforgettables,Brandy crusta,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/15-09-26-RalfR-WLC-0306.jpg/250px-15-09-26-RalfR-WLC-0306.jpg,,"Straight up: chilled, without ice",Orange or Lemon Twist, Cocktail glass,"
52.5 ml brandy
7.5 ml Maraschino Luxardo
1 Bar spoon Curaçao
15 ml Fresh lemon juice
1 Bar spoon simple syrup
2 dashes aromatic bitters
",Mix all ingredients with ice cubes in a mixing glass.  Strain into slim cocktail glass rimmed with sugar.,† Brandy crusta recipe at International Bartenders Association,
Unforgettables,Casino,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Casino_Cocktail_%289120690108%29.jpg/250px-Casino_Cocktail_%289120690108%29.jpg,,"
Gin
","Straight up: chilled, without ice",Lemon twist and maraschino cherry, Cocktail glass,"
4 cl gin (Old Tom)
1 cl Maraschino
1 cl fresh lemon juice
2 dashes orange bitters
",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,All Day
Unforgettables,Clover Club cocktail,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/15-09-26-RalfR-WLC-0126.jpg/250px-15-09-26-RalfR-WLC-0126.jpg,,"
Gin
","Straight up: chilled, without ice", Cocktail glass,"
4.5cl Gin
1.5cl lemon juice
1.5cl raspberry syrup
1 egg white or 20 ml aquafaba or 4 drops cocktail foamer
","Dry shake ingredients to emulsify, add ice, shake and served straight up.",All Day,† Clover Club cocktail recipe at International Bartenders Association
Unforgettables,Daiquiri,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Classic_Daiquiri_in_Cocktail_Glass.jpg/250px-Classic_Daiquiri_in_Cocktail_Glass.jpg,,"
Rum
","Straight up: chilled, without ice", Cocktail glass,"
60 ml white Cuban rum
20 ml fresh lime juice
2 bar spoons superfine sugar
",In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,Happy Hour / Summer drink,† Daiquiri recipe at International Bartenders Association
Unforgettables,Dry martini,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/15-09-26-RalfR-WLC-0084.jpg/250px-15-09-26-RalfR-WLC-0084.jpg,,"Straight up: chilled, without ice",Olive or lemon twist, Cocktail glass,"
60 mL (2.0 US fl oz) gin
10 mL (0.34 US fl oz) dry vermouth
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Before dinner,"Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested."
Unforgettables,Fizz,Cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gin_Fizz_en_El_Bulli.jpg/250px-Gin_Fizz_en_El_Bulli.jpg,,"
Gin
Whiskey
Rum
",,,,,,
Unforgettables,Hanky panky,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Hanky_Panky_cocktail.jpg/250px-Hanky_Panky_cocktail.jpg,,"
Gin
Vermouth
","Straight up: chilled, without ice",Orange zest, Cocktail glass,"
45 ml London dry gin
45 ml Sweet red vermouth
7.5 ml Fernet-Branca
","Stirred over ice, strained into a chilled glass, garnished, and served up.",† Hanky panky recipe at International Bartenders Association
Unforgettables,John Collins,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/IBA_Cocktail_John_Collins_%2829221732881%29.jpg/250px-IBA_Cocktail_John_Collins_%2829221732881%29.jpg,,"
Gin
",On the rocks: poured over ice,Lemon slice and maraschino cherry, Collins glass,"
45 ml gin
30 ml fresh lemon juice
15 ml simple syrup
60 ml soda water
",Pour all ingredients directly into a Collins glass filled with ice. Stir gently.,"Use ""Old Tom"" Gin for Tom Collins."
